":@computed_region_43wa_7qmu",":@computed_region_6mkv_f3dw",":@computed_region_awaf_s7ux",":@computed_region_bdys_3d7i",":@computed_region_d3ds_rm58",":@computed_region_d9mm_jgwp",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k","arrest","beat","block","case_number","community_area","date","description","district","domestic","fbi_code","id","iucr","latitude","location","location_address","location_city","location_description","location_state","location_zip","longitude","primary_type","updated_on","ward","x_coordinate","y_coordinate","year"
"41","22535","24","240","180","7","1","23","true","1432","026XX N ELSTON AVE","JB249000","22","2018-05-03T21:49:00.000","RETAIL THEFT","014","false","06","11304161","0860","41.929743818","POINT (-87.684273777 41.929743818)",,,"DEPARTMENT STORE",,,"-87.684273777","THEFT","2018-05-10T15:48:24.000","1","1160867","1917657","2018"
"14","21569","36","761","155","21","57","30","true","1011","013XX S KEDVALE AVE","JB248987","29","2018-05-03T21:44:00.000","DOMESTIC BATTERY SIMPLE","010","true","08B","11304109","0486","41.863353741","POINT (-87.728756998 41.863353741)",,,"RESIDENCE",,,"-87.728756998","BATTERY","2018-05-10T15:48:24.000","24","1148933","1893376","2018"
"2","22257","19","280","204","17","23","65","true","0725","063XX S ASHLAND AVE","JB249011","67","2018-05-03T21:40:00.000","TO LAND","007","false","26","11304118","1330","41.779012821","POINT (-87.664208692 41.779012821)",,,"RESTAURANT",,,"-87.664208692","CRIMINAL TRESPASS","2018-05-10T15:48:24.000","16","1166755","1862773","2018"
"2","22257","44","281","205","17","23","65","false","0726","019XX W MARQUETTE RD","JB248991","67","2018-05-03T21:40:00.000","$500 AND UNDER","007","true","06","11304099","0820","41.772084662","POINT (-87.672950608 41.772084662)",,,"RESIDENCE",,,"-87.672950608","THEFT","2018-05-10T15:48:24.000","15","1164390","1860230","2018"
"22","22212","45","315","263","9","13","74","false","2233","108XX S PEORIA ST","JB249003","75","2018-05-03T21:40:00.000","TO VEHICLE","022","false","14","11304115","1320","41.697233923","POINT (-87.644965498 41.697233923)",,,"DRIVEWAY - RESIDENTIAL",,,"-87.644965498","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","34","1172242","1833015","2018"
"22","22212","45","663","263","9","13","74","false","0524","008XX W 115TH ST","JB248996","53","2018-05-03T21:36:00.000","RETAIL THEFT","005","false","06","11304191","0860","41.685068742","POINT (-87.643209781 41.685068742)",,,"SMALL RETAIL STORE",,,"-87.643209781","THEFT","2018-05-10T15:48:24.000","34","1172757","1828586","2018"
"4","22260","53","332","206","18","60","9","false","0321","065XX S CHAMPLAIN AVE","JB248979","42","2018-05-03T21:32:00.000","TO PROPERTY","003","false","14","11304041","1310","41.775999869","POINT (-87.6094825 41.775999869)",,,"STREET",,,"-87.6094825","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","20","1181691","1861796","2018"
"49","21560","10","301","64","15","4","25","false","1211","010XX N FRANCISCO AVE","JB249043","24","2018-05-03T21:30:00.000","OVER $500","012","false","06","11304158","0810","41.900505589","POINT (-87.699285044 41.900505589)",,,"SIDEWALK",,,"-87.699285044","THEFT","2018-05-10T15:48:24.000","26","1156861","1906972","2018"
"23","21572","11","176","86","16","30","28","false","1123","033XX W CARROLL AVE","JB248989","27","2018-05-03T21:30:00.000","TO PROPERTY","011","false","14","11304075","1310","41.887475918","POINT (-87.709807121 41.887475918)",,,"COMMERCIAL / BUSINESS OFFICE",,,"-87.709807121","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","28","1154031","1902203","2018"
"23","21572","11","619","83","16","30","27","false","1114","043XX W WEST END AVE","JB248982","26","2018-05-03T21:25:00.000","SIMPLE","011","false","08B","11304120","0460","41.883269495","POINT (-87.733603976 41.883269495)",,,"OTHER",,,"-87.733603976","BATTERY","2018-05-10T15:48:24.000","28","1147562","1900624","2018"
"46","21190","51","290","134","14","16","68","false","1821","003XX W NORTH AVE","JB249018","8","2018-05-03T21:20:00.000","OVER $500","018","false","06","11304236","0810","41.911124622","POINT (-87.637932903 41.911124622)",,,"VEHICLE NON-COMMERCIAL",,,"-87.637932903","THEFT","2018-05-10T15:48:24.000","27","1173532","1910971","2018"
"12","21849","28","117","9","1","20","14","false","1723","046XX N SPRINGFIELD AVE","JB248972","14","2018-05-03T21:20:00.000","STRONGARM - NO WEAPON","017","false","03","11304043","0320","41.965358896","POINT (-87.72550279 41.965358896)",,,"SIDEWALK",,,"-87.72550279","ROBBERY","2018-05-10T15:48:24.000","39","1149556","1930553","2018"
"46","4299","41","456","66","16","5","24","true","1112","010XX N AVERS AVE","JB249010","23","2018-05-03T21:19:00.000","POSS: CRACK","011","false","18","11304116","2027","41.899937434","POINT (-87.722556906 41.899937434)",,,"RESIDENCE",,,"-87.722556906","NARCOTICS","2018-05-10T15:48:24.000","27","1150527","1906719","2018"
"37","22538","43","245","225","19","24","39","false","0421","075XX S KINGSTON AVE","JB248973","43","2018-05-03T21:17:00.000","AGGRAVATED:KNIFE/CUTTING INSTR","004","false","04B","11304127","0420","41.758338093","POINT (-87.562723332 41.758338093)",,,"RESIDENCE",,,"-87.562723332","BATTERY","2018-05-10T15:48:24.000","7","1194503","1855471","2018"
"19","22254","39","396","17","12","52","17","false","1632","034XX N NEWCASTLE AVE","JB249007","17","2018-05-03T21:12:00.000","TO PROPERTY","016","false","14","11304140","1310","41.9426065","POINT (-87.797082308 41.9426065)",,,"RESIDENCE",,,"-87.797082308","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","36","1130141","1922132","2018"
